DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
31/1/2020;6;Santa Eulàlia Sud;24965;10262;ABS_06
31/1/2020;5;Santa Eulàlia Nord;20740;8683;ABS_05
31/1/2020;10;Can Serra;10302;4205;ABS_10
31/1/2020;3;Collblanc;27091;10696;ABS_03
31/1/2020;11;Gornal;9211;3925;ABS_11
29/2/2020;3;Collblanc;27457;10696;ABS_03
29/2/2020;11;Gornal;9291;3925;ABS_11
29/2/2020;2;Sant Josep;23632;9665;ABS_02
29/2/2020;12;Bellvitge;25256;10083;ABS_12
29/2/2020;7;Florida Nord;23568;8160;ABS_07
29/2/2020;9;Pubilla Cases;31884;11590;ABS_09
29/2/2020;4;Torrassa;28909;10726;ABS_04
29/2/2020;10;Can Serra;10358;4205;ABS_10
29/2/2020;1;Centre;30337;13186;ABS_01
29/2/2020;6;Santa Eulàlia Sud;25128;10262;ABS_06
29/2/2020;5;Santa Eulàlia Nord;20872;8683;ABS_05
29/2/2020;8;Florida Sud;24680;8664;ABS_08
31/3/2020;2;Sant Josep;23250;9665;ABS_02
31/3/2020;3;Collblanc;26817;10696;ABS_03
31/3/2020;12;Bellvitge;24973;10083;ABS_12
31/3/2020;7;Florida Nord;23085;8160;ABS_07
31/3/2020;4;Torrassa;28182;10726;ABS_04
31/3/2020;9;Pubilla Cases;31111;11590;ABS_09
31/3/2020;5;Santa Eulàlia Nord;20449;8683;ABS_05
31/3/2020;8;Florida Sud;24218;8664;ABS_08
31/3/2020;1;Centre;29862;13186;ABS_01
31/3/2020;6;Santa Eulàlia Sud;24735;10277;ABS_06
31/3/2020;10;Can Serra;10192;4205;ABS_10
31/3/2020;11;Gornal;9183;3925;ABS_11
30/4/2020;12;Bellvitge;24906;10083;ABS_12
30/4/2020;9;Pubilla Cases;30937;11590;ABS_09
30/4/2020;1;Centre;29798;13194;ABS_01
30/4/2020;5;Santa Eulàlia Nord;20372;8683;ABS_05
30/4/2020;8;Florida Sud;24124;8664;ABS_08
30/4/2020;10;Can Serra;10152;4205;ABS_10
30/4/2020;7;Florida Nord;22937;8160;ABS_07
30/4/2020;2;Sant Josep;23189;9665;ABS_02
30/4/2020;4;Torrassa;28014;10726;ABS_04
30/4/2020;3;Collblanc;26639;10696;ABS_03
